"Week","cmort","temp","humid","partic","cmort02","temp02","humid02","partic02","cmort05","temp05","humid05","partic05","cmort10","temp10","humid10","partic10","cmort25","temp25","humid25","partic25","cmort67","temp67","humid67","partic67"
35,92.58,73.97,75.34,49.9,91.0099,76.38389,62.59128,56.97708,91.13181,76.17472,60.30778,59.76598,93.01511,75.55864,58.5093,58.40288,93.26808,74.58011,57.09215,51.55745,93.84608,74.24584,56.97383,51.19927
36,87.02,69.63,65.55,51.14,91.78094,75.03664,63.46856,56.64386,91.69681,75.03651,60.55272,60.45085,93.46591,75.10156,58.48682,58.9042,93.30147,74.56125,57.11401,51.5215,93.82539,74.2383,56.99459,51.15945
37,92.68,81.05,36.88,77.88,92.40197,73.69583,63.21341,58.83738,92.71479,73.81992,60.46116,61.12417,93.95312,74.57604,58.41928,58.9611,93.3339,74.54364,57.13505,51.49221,93.80454,74.23086,57.01533,51.11986
38,97.95,69.57,76.52,46.71,93.02299,72.35503,62.95825,61.03091,93.73276,72.60333,60.36959,61.79748,94.44033,74.05051,58.35174,59.018,93.36632,74.52603,57.15609,51.46291,93.78368,74.22343,57.03607,51.08028
39,94.19,78.05,37.25,73.86,93.64401,71.01423,62.7031,63.22443,94.75074,71.38674,60.27803,62.4708,94.92755,73.52499,58.2842,59.07489,93.39875,74.50841,57.17713,51.43362,93.76283,74.21599,57.05681,51.04069
40,93.95,70.61,62.42,76.87,94.26504,69.67343,62.44794,65.41796,95.76871,70.17015,60.18647,63.14412,95.41476,72.99947,58.21666,59.13179,93.43117,74.4908,57.19817,51.40432,93.74197,74.20856,57.07756,51.00111
41,92.29,60.95,70.8,39.85,94.88606,68.33262,62.19279,67.61148,96.78669,68.95356,60.09491,63.81743,95.90197,72.47395,58.14912,59.18868,93.46359,74.47319,57.21921,51.37503,93.72112,74.20112,57.0983,50.96152
42,93.48,67.74,60.77,71.52,97.1558,67.23939,61.28169,67.76028,97.66701,68.2625,59.66531,64.19779,96.21556,72.01234,58.12974,58.81978,93.49746,74.45381,57.23951,51.35558,93.70013,74.19376,57.11903,50.92219
43,97.41,68.5,48.97,63.87,99.42555,66.14615,60.37059,67.90908,98.54733,67.57144,59.23571,64.57814,96.52914,71.55073,58.11036,58.45088,93.53133,74.43443,57.25981,51.33613,93.67915,74.18639,57.13977,50.88286
44,96.98,54.84,76.25,48.81,101.69529,65.05291,59.45949,68.05788,99.42766,66.88037,58.80612,64.9585,96.84272,71.08912,58.09099,58.08198,93.56519,74.41506,57.28011,51.31668,93.65817,74.17902,57.1605,50.84353
45,106.6,60.58,58.66,68.82,103.96504,63.95968,58.54839,68.20668,100.30798,66.18931,58.37652,65.33885,97.15631,70.6275,58.07161,57.71308,93.59906,74.39568,57.30041,51.29723,93.63719,74.17166,57.18124,50.80419
46,112.41,62.14,51.86,64.39,106.23478,62.86644,57.63729,68.35548,101.18831,65.49825,57.94692,65.71921,97.46989,70.16589,58.05223,57.34418,93.63293,74.37631,57.32071,51.27778,93.6162,74.16429,57.20197,50.76486
47,118.59,51.26,51.46,81.76,106.07055,62.85571,57.17191,67.53582,101.71478,65.40206,57.42353,64.59242,97.56829,69.91244,58.08921,56.69277,93.67198,74.35079,57.34002,51.27101,93.59513,74.15697,57.22269,50.72578
48,107.9,72.55,58.51,73.55,105.90632,62.84499,56.70652,66.71615,102.24126,65.30586,56.90014,63.46563,97.66669,69.65899,58.12618,56.04136,93.71103,74.32528,57.35933,51.26424,93.57406,74.14964,57.24342,50.6867
49,111.82,64.42,70.89,67.99,105.74209,62.83426,56.24114,65.89648,102.76773,65.20967,56.37676,62.33884,97.7651,69.40554,58.16316,55.38995,93.75008,74.29976,57.37864,51.25747,93.55299,74.14232,57.26414,50.64763
50,102.78,78.25,41.46,75.37,105.57786,62.82353,55.77575,65.07682,103.29421,65.11348,55.85337,61.21206,97.8635,69.15209,58.20014,54.73854,93.78913,74.27425,57.39795,51.2507,93.53191,74.135,57.28486,50.60855
51,100.63,59.17,72.19,65.23,105.41363,62.81281,55.31037,64.25715,103.82068,65.01729,55.32998,60.08527,97.9619,68.89864,58.23712,54.08713,93.82818,74.24874,57.41726,51.24394,93.51084,74.12767,57.30558,50.56947
52,106.54,80.89,42.12,69.91,104.8961,63.45806,54.55632,60.90789,103.25824,65.29794,55.40667,58.14211,97.84989,68.98806,58.28923,53.30187,93.87776,74.21054,57.43469,51.25058,93.48971,74.12038,57.32629,50.53062
53,105.39,58.63,65.19,44.34,104.37857,64.10331,53.80228,57.55862,102.6958,65.5786,55.48337,56.19894,97.73788,69.07748,58.34135,52.51661,93.92734,74.17235,57.45212,51.25722,93.46858,74.11308,57.34699,50.49177
54,104.99,62.5,39.24,40.8,103.86104,64.74857,53.04824,54.20936,102.13336,65.85926,55.56006,54.25578,97.62587,69.1669,58.39346,51.73135,93.97692,74.13416,57.46954,51.26386,93.44745,74.10579,57.36769,50.45292
55,102.72,67.52,36,55.09,103.34352,65.39382,52.29419,50.86009,101.57092,66.13991,55.63675,52.31262,97.51386,69.25632,58.44558,50.94609,94.0265,74.09596,57.48697,51.2705,93.42631,74.09849,57.3884,50.41407
56,104.67,63.56,62.52,38.44,102.82599,66.03908,51.54015,47.51083,101.00848,66.42057,55.71344,50.36945,97.40185,69.34574,58.49769,50.16083,94.07608,74.05777,57.5044,51.27714,93.40518,74.09119,57.4091,50.37522
57,103.3,74.87,49.33,53.54,101.16966,66.20351,52.87468,45.84314,99.95129,66.83054,56.24276,48.40697,97.09155,69.7885,58.52322,49.32927,94.14399,73.99482,57.51688,51.2907,93.384,74.08392,57.42978,50.33655
58,98.46,64.98,76.15,42.46,99.51333,66.36795,54.20921,44.17545,98.89409,67.24052,56.77207,46.44449,96.78124,70.23126,58.54875,48.49771,94.21191,73.93187,57.52936,51.30426,93.36283,74.07665,57.45046,50.29789
59,100.78,82.7,36.28,53.22,97.85701,66.53239,55.54375,42.50776,97.8369,67.65049,57.30138,44.48201,96.47094,70.67403,58.57427,47.66614,94.27982,73.86893,57.54184,51.31783,93.34165,74.06938,57.47114,50.25922
60,94.43,72.63,55.55,44.41,96.20068,66.69682,56.87828,40.84007,96.7797,68.06046,57.83069,42.51953,96.16063,71.11679,58.5998,46.83458,94.34773,73.80598,57.55433,51.33139,93.32047,74.0621,57.49182,50.22056
61,92.16,65.36,64.93,31.29,94.54435,66.86126,58.21282,39.17238,95.7225,68.47043,58.36,40.55705,95.85033,71.55955,58.62533,46.00301,94.41564,73.74303,57.56681,51.34495,93.2993,74.05483,57.5125,50.18189
62,92.13,63.33,53.69,31.1,93.66202,67.56175,59.2846,38.09661,94.70969,69.295,58.93855,39.87625,95.38739,72.15828,58.63796,45.33577,94.49309,73.64838,57.5682,51.33452,93.27807,74.04758,57.53316,50.14337
63,95.04,66.1,65.67,35.92,92.77968,68.26224,60.35637,37.02083,93.69688,70.11957,59.5171,39.19546,94.92446,72.75702,58.6506,44.66852,94.57054,73.55373,57.5696,51.32409,93.25685,74.04034,57.55381,50.10484
64,86.88,64.85,67.61,37.73,91.89735,68.96273,61.42815,35.94506,92.68407,70.94413,60.09566,38.51466,94.46152,73.35575,58.66324,44.00127,94.64799,73.45908,57.57099,51.31366,93.23563,74.03309,57.57447,50.06632
65,95.29,76.37,62.44,35,91.01501,69.66323,62.49993,34.86929,91.67126,71.7687,60.67421,37.83387,93.99858,73.95448,58.67588,43.33403,94.72544,73.36443,57.57238,51.30323,93.21441,74.02584,57.59513,50.02779
66,85.39,75.27,49.66,36.25,90.13268,70.36372,63.57171,33.79352,90.65845,72.59326,61.25276,37.15307,93.53564,74.55322,58.68852,42.66678,94.80289,73.26978,57.57377,51.2928,93.19319,74.0186,57.61578,49.98927
67,92.63,65.15,71.13,22.75,89.57147,72.11868,63.17055,34.78333,90.17301,73.86794,61.14012,37.28804,93.18569,74.95795,58.64921,42.50038,94.84257,73.19175,57.57842,51.21971,93.17193,74.01139,57.63641,49.95085
68,88.72,69.62,63.79,32.26,89.01026,73.87364,62.7694,35.77313,89.68757,75.14261,61.02748,37.423,92.83574,75.36268,58.6099,42.33397,94.88225,73.11371,57.58308,51.14663,93.15066,74.00418,57.65704,49.91243
69,87.09,72.81,68.47,34.77,88.44905,75.6286,62.36824,36.76293,89.20213,76.41728,60.91484,37.55797,92.4858,75.7674,58.57059,42.16757,94.92193,73.03568,57.58773,51.07355,93.12939,73.99697,57.67767,49.87401
70,83.92,85.57,55.88,52.73,87.88784,77.38356,61.96708,37.75274,88.71669,77.69196,60.8022,37.69294,92.13585,76.17213,58.53128,42.00116,94.96161,72.95765,57.59238,51.00047,93.10813,73.98975,57.6983,49.83559
71,89.01,78.58,65.65,36.59,87.32663,79.13852,61.56593,38.74254,88.23125,78.96663,60.68956,37.82791,91.7859,76.57686,58.49196,41.83476,95.00129,72.87961,57.59703,50.92738,93.08686,73.98254,57.71893,49.79717
72,78.14,77.32,65.21,30.04,87.36227,80.73446,60.72732,39.1362,88.19272,79.86323,60.23162,38.40145,91.71607,76.66888,58.33532,42.26602,95.00051,72.84344,57.60975,50.7906,93.06555,73.97539,57.73953,49.75884
73,92.84,87.27,50.89,49.91,87.39791,82.3304,59.88871,39.52986,88.1542,80.75984,59.77368,38.97499,91.64624,76.7609,58.17867,42.69729,94.99973,72.80727,57.62247,50.65383,93.04424,73.96823,57.76012,49.72051
74,88.65,86.29,57.09,42.6,87.43355,83.92634,59.05011,39.92352,88.11568,81.65644,59.31575,39.54853,91.57641,76.85291,58.02203,43.12855,94.99895,72.7711,57.63519,50.51705,93.02294,73.96107,57.78071,49.68218
75,86.66,83.55,64.87,35.89,87.46919,85.52227,58.2115,40.31718,88.07716,82.55305,58.85781,40.12207,91.50658,76.94493,57.86539,43.55981,94.99817,72.73493,57.64791,50.38027,93.00163,73.95391,57.80131,49.64385
76,82.04,88.57,56.99,41.76,87.50483,87.11821,57.37289,40.71084,88.03863,83.44966,58.39987,40.69561,91.43675,77.03695,57.70874,43.99107,94.99739,72.69876,57.66064,50.24349,92.98032,73.94675,57.8219,49.60553
77,105.15,95.34,46.56,47.03,87.68963,86.47403,57.36012,40.79532,88.4071,83.16162,57.79993,41.70885,91.698,76.87584,57.42749,44.79071,94.95236,72.71768,57.68109,50.06368,92.95898,73.93966,57.84244,49.56729
78,94.19,88.18,59.09,36.62,87.87443,85.82985,57.34735,40.8798,88.77557,82.87358,57.19998,42.72209,91.95924,76.71473,57.14623,45.59035,94.90732,72.73659,57.70155,49.88387,92.93764,73.93257,57.86298,49.52905
79,83.99,82.71,66.41,31.4,88.05924,85.18566,57.33458,40.96427,89.14404,82.58554,56.60004,43.73533,92.22048,76.55362,56.86497,46.38999,94.86228,72.75551,57.72201,49.70405,92.9163,73.92547,57.88352,49.49081
80,88.22,89.8,49.83,46.76,88.24404,84.54148,57.32181,41.04875,89.5125,82.2975,56.00009,44.74858,92.48173,76.39251,56.58372,47.18963,94.81725,72.77443,57.74247,49.52424,92.89496,73.91838,57.90405,49.45257
81,85.59,81.63,63.94,30.6,88.42884,83.8973,57.30903,41.13323,89.88097,82.00946,55.40015,45.76182,92.74297,76.2314,56.30246,47.98927,94.77221,72.79335,57.76293,49.34443,92.87362,73.91128,57.92459,49.41433
82,99.21,98.95,43.45,60.58,89.00765,82.19712,56.22826,43.58509,90.66581,80.80579,55.03422,47.21126,93.25621,75.90665,56.06881,48.86308,94.6896,72.86037,57.78681,49.15914,92.85226,73.90424,57.94506,49.3762
83,87.77,82.58,66.54,33.3,89.58646,80.49693,55.14748,46.03694,91.45065,79.60212,54.6683,48.66071,93.76946,75.58189,55.83516,49.7369,94.60699,72.92738,57.8107,48.97386,92.8309,73.89721,57.96552,49.33807
84,90.39,79.74,56.69,50.08,90.16527,78.79675,54.06671,48.4888,92.23549,78.39845,54.30238,50.11015,94.2827,75.25714,55.60151,50.61071,94.52439,72.9944,57.83458,48.78857,92.80955,73.89017,57.98598,49.29993
85,82.25,77.31,46.55,46.99,90.74408,77.09657,52.98593,50.94066,93.02033,77.19478,53.93646,51.5596,94.79595,74.93239,55.36787,51.48452,94.44178,73.06142,57.85846,48.60329,92.78819,73.88313,58.00645,49.2618
86,102.92,99.88,29.94,73.07,91.32289,75.39639,51.90516,53.39252,93.80517,75.99111,53.57054,53.00904,95.30919,74.60764,55.13422,52.35834,94.35917,73.12844,57.88234,48.418,92.76683,73.87609,58.02691,49.22366
87,86.84,69.19,64.1,50.28,92.91516,74.01959,51.98802,55.04008,94.97385,74.58172,53.16322,54.5774,95.70691,74.14557,55.11995,52.936,94.25771,73.21798,57.90515,48.26916,92.74548,73.86909,58.04728,49.18566
88,97.22,76.29,50.73,71.6,94.50744,72.64279,52.07088,56.68763,96.14254,73.17234,52.75589,56.14577,96.10463,73.68351,55.10568,53.51366,94.15624,73.30751,57.92795,48.12032,92.72413,73.86209,58.06765,49.14765
89,94.97,64.28,44.22,50.09,96.09971,71.26599,52.15375,58.33519,97.31122,71.76295,52.34856,57.71413,96.50234,73.22144,55.09142,54.09132,94.05477,73.39705,57.95075,47.97148,92.70278,73.85509,58.08802,49.10965
90,104.86,78.61,51.21,82.85,97.69198,69.88919,52.23661,59.98275,98.47991,70.35356,51.94124,59.28249,96.90006,72.75937,55.07715,54.66898,93.95331,73.48658,57.97356,47.82263,92.68143,73.84808,58.10839,49.07164
91,80.53,65.87,65.85,58.36,99.28425,68.51239,52.31948,61.63031,99.64859,68.94418,51.53391,60.85085,97.29778,72.29731,55.06289,55.24665,93.85184,73.57612,57.99636,47.67379,92.66007,73.84108,58.12876,49.03363
92,102.47,68.18,45.62,62.63,100.83484,67.27643,51.50261,63.14186,100.78799,68.20596,51.69136,61.61446,97.41008,71.82231,55.18241,55.43431,93.75579,73.65631,58.01295,47.59427,92.63875,73.83408,58.14902,48.99577
93,97.8,65.98,74.52,71.27,102.38543,66.04046,50.68574,64.65341,101.92739,67.46774,51.8488,62.37807,97.52237,71.34732,55.30194,55.62196,93.65974,73.73649,58.02954,47.51475,92.61743,73.82709,58.16928,48.95792
94,95.28,63.95,44.66,50.85,103.93602,64.80449,49.86887,66.16497,103.0668,66.72952,52.00625,63.14167,97.63467,70.87232,55.42146,55.80962,93.56369,73.81668,58.04613,47.43523,92.5961,73.82009,58.18954,48.92006
95,105.64,57.65,49.77,65.13,105.4866,63.56853,49.052,67.67652,104.2062,65.9913,52.1637,63.90528,97.74696,70.39733,55.54098,55.99728,93.46764,73.89687,58.06273,47.35571,92.57478,73.81309,58.2098,48.8822
96,106.44,64.27,43.5,74.74,107.03719,62.33256,48.23513,69.18808,105.3456,65.25308,52.32114,64.66889,97.85926,69.92233,55.66051,56.18494,93.37158,73.97706,58.07932,47.27619,92.55345,73.80609,58.23006,48.84434
97,110.65,55.18,93.01,39.59,107.93835,62.80671,49.33057,69.06105,105.37737,65.30935,53.0321,64.22724,97.8067,69.70892,55.83528,55.95054,93.30191,74.02084,58.08852,47.27653,92.53218,73.79907,58.2502,48.80663
98,114.41,63.52,45.42,69.67,108.83951,63.28086,50.42601,68.93403,105.40914,65.36562,53.74305,63.7856,97.75415,69.49552,56.01006,55.71613,93.23224,74.06462,58.09773,47.27687,92.5109,73.79205,58.27034,48.76892
99,115.98,63.95,55.25,84.23,109.74068,63.75501,51.52145,68.807,105.44091,65.42189,54.454,63.34395,97.70159,69.28211,56.18484,55.48173,93.16257,74.1084,58.10693,47.2772,92.48962,73.78503,58.29048,48.73121
100,112.72,69.91,54.59,84.96,110.64184,64.22916,52.61689,68.67998,105.47268,65.47816,55.16495,62.90231,97.64903,69.06871,56.35961,55.24733,93.09289,74.15218,58.11613,47.27754,92.46835,73.77801,58.31062,48.6935
101,115.99,58.9,76.87,67.68,111.543,64.70331,53.71233,68.55296,105.50445,65.53442,55.8759,62.46066,97.59647,68.8553,56.53439,55.01292,93.02322,74.19597,58.12534,47.27788,92.44707,73.77099,58.33076,48.65579
102,104.14,65.25,44.82,58.62,109.25203,65.59382,55.92101,65.90408,104.47765,66.09566,56.66328,60.94508,97.39057,69.01912,56.79084,54.33479,92.99094,74.1903,58.13056,47.33946,92.42585,73.76393,58.35078,48.61821
103,109.3,62.79,54.94,57.02,106.96106,66.48433,58.1297,63.2552,103.45085,66.6569,57.45067,59.42949,97.18466,69.18293,57.04729,53.65665,92.95866,74.18464,58.13579,47.40105,92.40462,73.75687,58.37079,48.58063
104,111.47,71.43,47.33,64.58,104.6701,67.37485,60.33838,60.60632,102.42405,67.21813,58.23806,57.91391,96.97875,69.34674,57.30375,52.97851,92.92637,74.17897,58.14102,47.46264,92.3834,73.74981,58.39081,48.54305
105,102.67,68.72,69.03,63.25,102.37913,68.26536,62.54706,57.95744,101.39725,67.77937,59.02545,56.39832,96.77285,69.51056,57.5602,52.30038,92.89409,74.1733,58.14625,47.52422,92.36218,73.74275,58.41083,48.50547
106,101.34,66.96,69.19,56.92,100.08816,69.15587,64.75575,55.30856,100.37045,68.3406,59.81284,54.88274,96.56694,69.67437,57.81666,51.62224,92.86181,74.16764,58.15148,47.58581,92.34095,73.73569,58.43084,48.46788
107,94.97,75.68,61.63,46.59,98.21111,69.50701,63.91423,52.79826,98.93023,68.99488,60.00753,52.89955,96.1687,70.14564,58.07535,50.71375,92.8612,74.11667,58.15676,47.66728,92.31977,73.72859,58.45073,48.43038
108,90.48,68.57,77.31,49.2,96.33405,69.85815,63.07272,50.28796,97.49001,69.64915,60.20222,50.91636,95.77045,70.61691,58.33404,49.80525,92.86058,74.06569,58.16205,47.74876,92.29858,73.72149,58.47062,48.39288
109,93.7,68.62,76.62,48.55,94.45699,70.20929,62.2312,47.77766,96.04979,70.30343,60.39692,48.93317,95.37221,71.08818,58.59273,48.89676,92.85997,74.01472,58.16733,47.83024,92.2774,73.71439,58.49052,48.35537
110,81.87,69.61,61.01,39.16,92.57993,70.56043,61.38969,45.26737,94.60957,70.9577,60.59161,46.94998,94.97397,71.55945,58.85142,47.98826,92.85935,73.96375,58.17262,47.91171,92.25622,73.70729,58.51041,48.31787
111,91.12,71.89,50.68,43.59,90.70288,70.91157,60.54818,42.75707,93.16935,71.61197,60.7863,44.96679,94.57572,72.03071,59.11012,47.07977,92.85874,73.91278,58.1779,47.99319,92.23503,73.70019,58.5303,48.28037
112,90.55,73.66,63.97,43.26,90.33174,71.69818,60.0839,41.64689,92.32017,72.3114,60.71173,43.59805,94.02004,72.61476,59.28981,46.21029,92.86987,73.83272,58.19056,48.04574,92.21386,73.69306,58.55006,48.24287
113,89.62,70.67,44.01,35.86,89.96061,72.48478,59.61963,40.53671,91.47099,73.01083,60.63716,42.22932,93.46436,73.19881,59.4695,45.34082,92.88101,73.75266,58.20321,48.09829,92.19269,73.68593,58.56982,48.20537
114,91.63,69.9,56.93,40.4,89.58948,73.27139,59.15535,39.42653,90.62181,73.71026,60.56258,40.86059,92.90867,73.78286,59.6492,44.47135,92.89214,73.6726,58.21587,48.15084,92.17151,73.6788,58.58958,48.16787
115,89.22,80.23,53.68,44.84,89.21835,74.05799,58.69107,38.31635,89.77263,74.40969,60.48801,39.49185,92.35299,74.3669,59.82889,43.60188,92.90328,73.59254,58.22853,48.20339,92.15034,73.67166,58.60934,48.13038
116,84.81,67.16,65.61,28.72,88.84722,74.8446,58.2268,37.20617,88.92345,75.10911,60.41344,38.12312,91.7973,74.95095,60.00859,42.73241,92.91442,73.51248,58.24118,48.25594,92.12917,73.66453,58.6291,48.09288
117,95,81.71,58.17,44.4,88.2479,75.76789,59.1744,36.47523,88.7326,75.89473,60.41325,37.58558,91.34113,75.38987,60.05234,42.20782,92.914,73.42872,58.26878,48.2458,92.10797,73.65739,58.64872,48.0553
